Person Name,Description,Wikipedia Link,Instagram,Twitter,Youtube,Homepage
Glen Weldon,"Glen Weldon is an American writer, cultural critic, and podcaster.",https://en.wikipedia.org/wiki/Glen_Weldon,//www.instagram.com/ghweldon,//www.twitter.com/ghweldon,,
Geoff Ramsey,"Geoff Ramsey is an American voice actor, film producer and internet personality.",https://en.wikipedia.org/wiki/Geoff_Ramsey,//www.instagram.com/geofflramsey,,,
Garry Kasparov,"Garry Kasparov is a Russian chess grandmaster, former World Chess Champion, political activist and writer.",https://en.wikipedia.org/wiki/Garry_Kasparov,//www.instagram.com/garry_kasparov,//www.twitter.com/Kasparov63,,
Joshua Skenes,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/jskenes,//www.twitter.com/saisonsf,,
Feng Zhu,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,//www.twitter.com/FengZhuDesign,,
Felicia Day,"Felicia Day is an American actress, writer, and web series creator.",https://en.wikipedia.org/wiki/Felicia_Day,//www.instagram.com/feliciaday,//www.twitter.com/feliciaday,,
David Friedberg,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,//www.twitter.com/friedberg,,
Don Winslow,Don Winslow is an American retired author.,https://en.wikipedia.org/wiki/Don_Winslow,//www.instagram.com/donwinslowfilms,//www.twitter.com/donwinslow,,
Diane Ravitch,"Diane Ravitch is a historian of education, an educational policy analyst, and a research professor.",https://en.wikipedia.org/wiki/Diane_Ravitch,,//www.twitter.com/DianeRavitch,,
Jonathan Sacks,"Jonathan Sacks is a British Orthodox rabbi, philosopher, theologian, author and politician.",https://en.wikipedia.org/wiki/Jonathan_Sacks,//www.instagram.com/rabbisacks,//www.twitter.com/rabbisacks,,
DeRay Mckesson,"DeRay Mckesson is an American civil rights activist, podcaster, and former school administrator.",https://en.wikipedia.org/wiki/DeRay_Mckesson,//www.instagram.com/iamderay,//www.twitter.com/deray,,
David Frum,David Frum is a political commentator and a former speechwriter for President George W.,https://en.wikipedia.org/wiki/David_Frum,//www.instagram.com/davidfrum,//www.twitter.com/davidfrum,,
Dave Rubin,Dave Rubin is an American conservative political commentator.,https://en.wikipedia.org/wiki/Dave_Rubin,//www.instagram.com/rubinreport,//www.twitter.com/RubinReport,,
Cathie Wood,"Cathie Wood is the founder, CEO, and CIO of Ark Invest, an investment management firm.",https://en.wikipedia.org/wiki/Cathie_Wood,//www.instagram.com/cathiedwoodfx_,//www.twitter.com/CathieDWood,,
