Name,Link,Number of Books,Image URL
Dave Elitch,https://www.mostrecommendedbooks.com/dave-elitch-books,20,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Dave%20Elitch.png
Ryan Hoover,https://www.mostrecommendedbooks.com/ryan-hoover-books,19,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ryan%20Hoover.png
Rolf Potts,https://www.mostrecommendedbooks.com/rolf-potts-books,20,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Rolf%20Potts.png
Adam Savage,https://www.mostrecommendedbooks.com/adam-savage-books,23,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Adam%20Savage.jpg
Adam Robinson,https://www.mostrecommendedbooks.com/adam-robinson-books,19,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Adam%20Robinson.jpg
Sheryl Sandberg,https://www.mostrecommendedbooks.com/sheryl-sandberg-books,20,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Sheryl%20Sandberg.jpg
Kevin Rose,https://www.mostrecommendedbooks.com/kevin-rose-books,15,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Kevin%20Rose.png
Chris Dixon,https://www.mostrecommendedbooks.com/chris-dixon-books,19,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Chris%20Dixon.png
George Raveling,https://www.mostrecommendedbooks.com/george-raveling-books,17,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_George%20Raveling.png
Tristan Harris,https://www.mostrecommendedbooks.com/tristan-harris-books,15,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Tristan%20Harris.jpg
Reid Hoffman,https://www.mostrecommendedbooks.com/reid-hoffman-books,19,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Reid%20Hoffman.png
Casey Neistat,https://www.mostrecommendedbooks.com/casey-neistat-books,17,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Casey%20Neistat.jpg
Brian Koppelman,https://www.mostrecommendedbooks.com/brian-koppelman-books,20,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Brian%20Koppelman.jpg
Lex Fridman,https://www.mostrecommendedbooks.com/lex-fridman-books,39,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Lex%20Fridman.jpg
Larry Ellison,https://www.mostrecommendedbooks.com/larry-ellison-books,15,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Larry%20Ellison.png
Kevin Systrom,https://www.mostrecommendedbooks.com/kevin-systrom-books,17,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Kevin%20Systrom.png
Ezra Klein,https://www.mostrecommendedbooks.com/ezra-klein-books,39,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ezra%20Klein.png
Stanislav Grof,https://www.mostrecommendedbooks.com/stanislav-grof-books,14,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Stanislav%20Grof.jpeg
Ryan Petersen,https://www.mostrecommendedbooks.com/ryan-petersen-books,32,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ryan%20Petersen.jpg
Ron Conway,https://www.mostrecommendedbooks.com/ron-conway-books,16,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ron%20Conway.png
"Mike Maples, Jr.",https://www.mostrecommendedbooks.com/mike-maples-jr-books,15,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Mike%20Maples%2C%20Jr..png
Anderson Cooper,https://www.mostrecommendedbooks.com/anderson-cooper-books,14,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Anderson%20Cooper.jpg
Maria Popova,https://www.mostrecommendedbooks.com/maria-popova-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Maria%20Popova.png
Alexandria Ocasio-Cortez,https://www.mostrecommendedbooks.com/alexandria-ocasio-cortez-books,11,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Alexandria%20Ocasio-Cortez.jpg
Lewis Cantley,https://www.mostrecommendedbooks.com/lewis-cantley-books,18,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Lewis%20Cantley.png
Karlie Kloss,https://www.mostrecommendedbooks.com/karlie-kloss-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Karlie%20Kloss.png
Garry Tan,https://www.mostrecommendedbooks.com/garry-tan-books,14,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Garry%20Tan.jpg
Jonathan Eisen,https://www.mostrecommendedbooks.com/jonathan-eisen-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jonathan%20Eisen.png
Anthony Scaramucci,https://www.mostrecommendedbooks.com/anthony-scaramucci-books,16,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Anthony%20Scaramucci.jpg
Jim Collins,https://www.mostrecommendedbooks.com/jim-collins-books,10,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jim%20Collins.png
Quentin Tarantino,https://www.mostrecommendedbooks.com/quentin-tarantino-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Quentin%20Tarantino.jpg
James Altucher,https://www.mostrecommendedbooks.com/james-altucher-books,11,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_James%20Altucher.png
Howard Marks,https://www.mostrecommendedbooks.com/howard-marks-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Howard%20Marks.png
Hamilton Morris,https://www.mostrecommendedbooks.com/hamilton-morris-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Hamilton%20Morris.png
Guy Kawasaki,https://www.mostrecommendedbooks.com/guy-kawasaki-books,11,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Guy%20Kawasaki.png
Graham Duncan,https://www.mostrecommendedbooks.com/graham-duncan-books,14,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Graham%20Duncan.png
Tony Hsieh,https://www.mostrecommendedbooks.com/tony-hsieh-books,14,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Tony%20Hsieh.jpg
Tom Peters,https://www.mostrecommendedbooks.com/tom-peters-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Tom%20Peters.jpeg
Daniel Ek,https://www.mostrecommendedbooks.com/daniel-ek-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Daniel%20Ek.png
Chris Sacca,https://www.mostrecommendedbooks.com/chris-sacca-books,14,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Chris%20Sacca.png
Bill Nye,https://www.mostrecommendedbooks.com/bill-nye-books,10,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Bill%20Nye.jpg
Mike Rowe,https://www.mostrecommendedbooks.com/mike-rowe-books,27,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Mike%20Rowe.png
Ashton Kutcher,https://www.mostrecommendedbooks.com/ashton-kutcher-books,10,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ashton%20Kutcher.jpg
Amanda Palmer,https://www.mostrecommendedbooks.com/amanda-palmer-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Amanda%20Palmer.jpg
Alan Kay,https://www.mostrecommendedbooks.com/alan-kay-books,14,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Alan%20Kay.jpg
Larry Page,https://www.mostrecommendedbooks.com/larry-page-books,8,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Larry%20Page.png
Laird Hamilton,https://www.mostrecommendedbooks.com/laird-hamilton-books,17,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Laird%20Hamilton.png
Sam Hinkie,https://www.mostrecommendedbooks.com/sam-hinkie-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Sam%20Hinkie.jpg
Kat Cole,https://www.mostrecommendedbooks.com/kat-cole-books,11,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Kat%20Cole.jpg
Kara Swisher,https://www.mostrecommendedbooks.com/kara-swisher-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Kara%20Swisher.png
Judd Apatow,https://www.mostrecommendedbooks.com/judd-apatow-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Judd%20Apatow.png
Bill Ackman,https://www.mostrecommendedbooks.com/bill-ackman-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Bill%20Ackman.jpg
